web-scraper-order,web-scraper-start-url,local_listing,local_listing-href
"1587924577-6568","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","smartguy.com","https://www.smartguy.com/"
"1587924577-6533","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","lacartes.com","http://www.lacartes.com/"
"1587924577-6534","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","lekkoo.com","http://lekkoo.com/"
"1587924577-6530","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Infignos","http://www.infignos.com/"
"1587924577-6586","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","whofish.org","http://whofish.org/"
"1587924577-6503","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","company.com","https://directory.company.com/"
"1587924577-6580","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","tupalo.com","http://tupalo.com/"
"1587924577-6519","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","fyple.com","https://www.fyple.com/"
"1587924577-6556","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","onlyuncle.com","https://onlyuncle.com/"
"1587924577-6491","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","brownbook.net","http://www.brownbook.net/"
"1587924577-6478","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","akama.com","http://www.akama.com/register"
"1587924577-6507","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","directorycentral.com","http://www.directorycentral.com/"
"1587924577-6525","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","gomylocal.com","https://www.gomylocal.com/"
"1587924577-6510","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","expressbusinessdirectory.com","http://www.expressbusinessdirectory.com/AddYourBusiness.aspx"
"1587924577-6506","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","cylex-usa.com","https://www.cylex.us.com/"
"1587924577-6496","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","circleguru.com","http://circleguru.com/"
"1587924577-6516","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","haribook.com/","https://haribook.com/"
"1587924577-6541","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","localstack.com","https://localstack.com/"
"1587924577-6538","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","localdozen.com","http://localdozen.com/"
"1587924577-6576","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","townrenowned.com","https://townrenowned.com/"
"1587924577-6536","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","local.botw.org","https://local.botw.org/"
"1587924577-6523","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","golocal247.com","https://golocal247.com/"
"1587924577-6559","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","placelookup.net","https://www.placelookup.net/"
"1587924577-6545","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","mapquest.com","https://www.mapquest.com/"
"1587924577-6513","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","facebook.com","https://business.facebook.com/"
"1587924577-6583","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","us.enrollbusiness.com","https://us.enrollbusiness.com/"
"1587924577-6540","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","localpages.com","http://www.localpages.com/"
"1587924577-6475","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","harispot.com","https://harispot.com/"
"1587924577-6494","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Callupconnect","http://www.callupcontact.com/"
"1587924577-6572","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","sugarreviews.com","http://sugarreviews.com/"
"1587924577-6485","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","bizvotes.com","http://www.bizvotes.com/"
"1587924577-6490","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","bzlistings.com","http://www.bzlistings.com/"
"1587924577-6526","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","hometownandcity.com","http://www.hometownandcity.com/"
"1587924577-6479","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","americantowns.com","http://www.americantowns.com/"
"1587924577-6529","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","ibegin.com","http://ibegin.com/"
"1587924577-6571","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","storeboard.com","https://storeboard.com/"
"1587924577-6520","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","garagecommerce.com","http://garagecommerce.com/"
"1587924577-6476","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","additmore.com","http://additmore.com/"
"1587924577-6488","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Bizhwy.com","https://www.bizhwy.com/addlisting.php"
"1587924577-6514","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","Finduslocal.com","http://www.finduslocal.com/profile/addbusiness.php"
"1587924577-6527","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","hotfrog.com","https://www.hotfrog.com/"
"1587924577-6591","https://360votes.com/100-free-usa-business-listing-sites-list-2019/","wherezit.com","http://www.wherezit.com/"
